"nes","sampling_periods","year"
"10","2, 3",2020
"109","2, 3",2020
"12","1, 2",2020
"143","1, 2",2020
"147","2, 3",2020
"157","2, 3",2020
"160","1",2020
"1901","2, 3",2020
"1907","2, 3",2020
"1908","2, 3",2020
"2018","1",2020
"230","2",2020
"234","2, 3",2020
"236","2, 3",2020
"240","2",2020
"300","1",2020
"301b","2, 3",2020
"304","2, 3",2020
"305","2",2020
"34","1, 2",2020
"35","2, 3",2020
"40","2, 3",2020
"8","2",2020
"802","1",2020
"901","2, 3",2020
"910","2, 3",2020
"911","2, 3",2020
"952","2, 3",2020
"973","2, 3",2020
"974b","1, 3",2020
"A02","1",2020
"10","1, 2, 3",2021
"109","1, 2, 3",2021
"12","1, 2, 3",2021
"143","1, 3",2021
"147","1",2021
"157","1, 2, 3",2021
"160","1",2021
"1901","1, 2, 3",2021
"1907","1, 3",2021
"1908","1, 2, 3",2021
"2018","1, 2, 3",2021
"230","1",2021
"234","1, 2, 3",2021
"236","2, 3",2021
"240","1, 2, 3",2021
"300","1, 2, 3",2021
"301b","1, 2, 3",2021
"304","1, 2, 3",2021
"305","1, 2, 3",2021
"34","1, 2, 3",2021
"35","1, 2, 3",2021
"802","1, 2, 3",2021
"901","1, 2, 3",2021
"910","2, 3",2021
"911","1, 2, 3",2021
"952","1, 2, 3",2021
"974b","1",2021
"A02","1, 2, 3",2021
